"model_id","origin_date","target_date","horizon","lower","upper","nominal","covered","interval_score"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-09,15,0.35,0.65,0.3,FALSE,7.04396712903309
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-10,16,0.35,0.65,0.3,FALSE,3.45089264557459
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-11,17,0.35,0.65,0.3,FALSE,3.27408559820762
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-12,18,0.35,0.65,0.3,FALSE,2.99180415484195
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-13,19,0.35,0.65,0.3,FALSE,3.42928187807541
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-14,20,0.35,0.65,0.3,FALSE,6.58314751730893
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-15,21,0.35,0.65,0.3,FALSE,4.19344320287686
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-16,22,0.35,0.65,0.3,FALSE,4.95026113078215
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-17,23,0.35,0.65,0.3,FALSE,3.09560088349959
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-18,24,0.35,0.65,0.3,FALSE,2.02943616498349
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-19,25,0.35,0.65,0.3,TRUE,1.56015291038633
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-20,26,0.35,0.65,0.3,TRUE,1.54005513369429
