"scenario_id","source_model_id","likelihood_family","fit_structure","metric_window","metric_role","metric_label","posterior_mean","posterior_median","posterior_q025","posterior_q975","n_draws","n_chains","draws_per_chain","point_reference_value","canonical_metric_value","canonical_raw_crossing_pairs","canonical_rearranged_crossing_pairs","crossing_opportunities_per_scenario","primary_pairing_seed","packet_manifest_sha256","fixture_manifest_sha256","model_label","scenario_label"
"nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.430238999184445,0.430002975032108,0.426208888436799,0.435586780651562,8000,8,1000,0.420366510793236,0.426426166103889,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Nonlinear reservoir dynamics"
"normal_bridge","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.310095568091147,0.309880029576911,0.307950376706533,0.313476285009436,8000,8,1000,0.305650768330176,0.308334434151693,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Gaussian innovations"
"normal_bridge","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.310849754044041,0.310641543580293,0.308441277714184,0.314400234767945,8000,8,1000,0.305650768330176,0.308621181841308,1,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Gaussian innovations"
"normal_bridge","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.311861004505202,0.311395132654192,0.3084117069264,0.317901350592624,8000,8,1000,0.305650768330176,0.309567699148495,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Gaussian innovations"
"normal_bridge","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.311988992226769,0.311648318049873,0.308700202293495,0.317301314282896,8000,8,1000,0.305650768330176,0.308946586631321,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Gaussian innovations"
"persistent_heavy_tail","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.364425109647277,0.364243754461716,0.36136351388518,0.368485705580954,8000,8,1000,0.356598860061317,0.362748957402307,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.363558707186034,0.363365375401658,0.360729190453782,0.367473815663084,8000,8,1000,0.356598860061317,0.361033448846285,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.364307941635654,0.363944513141461,0.360816959738861,0.369757536175995,8000,8,1000,0.356598860061317,0.362248283819629,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.362918110418068,0.36261428312498,0.360051626302755,0.36772673386902,8000,8,1000,0.356598860061317,0.360022440398076,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Persistent heavy tails"
"regime_shift","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.436914516942461,0.434879958556654,0.426441631357576,0.458659321857868,8000,8,1000,0.423545742369814,0.433315179484623,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Regime shift"
"regime_shift","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.431083091504623,0.430035578165075,0.426332686390603,0.441652286587046,8000,8,1000,0.423545742369814,0.427110425477525,5,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Regime shift"
"regime_shift","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.43940908015761,0.437242946623993,0.426935239139546,0.463938351685912,8000,8,1000,0.423545742369814,0.435669062943379,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Regime shift"
"regime_shift","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.431461958088566,0.430359308142528,0.42639202304072,0.442593940013793,8000,8,1000,0.423545742369814,0.426664487558861,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Regime shift"
"student_t_location_scale","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.336185778248707,0.335921114667641,0.334308438154886,0.339516818184849,8000,8,1000,0.33265441785099,0.334416557785495,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Student-t location-scale"
"student_t_location_scale","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.336798056828395,0.336605538991591,0.334889903140326,0.33980485160061,8000,8,1000,0.33265441785099,0.334497530527167,2,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Student-t location-scale"
